"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "Docker", "JSON with Comments", "Ignore", "comment", "blank", "total"
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\ImagePost.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Message.js", "JavaScript", 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Poll.js", "JavaScript", 0, -34, 0, 0, 0, 0, 0, 0, -3, -37
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Thread.js", "JavaScript", 0, -23, 0, 0, 0, 0, 0, 0, -3, -26
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\User.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, 0, -3, -25
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\package.json", "JSON", -32, 0, 0, 0, 0, 0, 0, 0, -1, -33
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\s3.js", "JavaScript", 0, -33, 0, 0, 0, 0, 0, -2, -6, -41
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\server.js", "JavaScript", 0, -2293, 0, 0, 0, 0, 0, -65, -52, -2410
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\socketHandler.js", "JavaScript", 0, -158, 0, 0, 0, 0, 0, -3, -13, -174
"Total", "-", 1, 266, 0, 0, 0, 0, -1, 47, 12, 325
